Year,LandUseCode,BuildingValue,YardValue,LandValue,Acres,SpecialLand,TotalValue,anum,FullAddress,ParcelID
2011,104  - Two Family,347300,0,230200,"7,313.00",0.0,577500,12750,96-98 APPLETON ST,165.0-0001-0002.0
2010,104  - Two Family,347300,0,230200,"7,313.00",0.0,577500,12750,96-98 APPLETON ST,165.0-0001-0002.0
2009,104  - Two Family,349900,0,225600,"7,313.00",0.0,575500,12750,96-98 APPLETON ST,165.0-0001-0002.0
2008,104  - Two Family,363600,0,231800,"7,313.00",0.0,595400,12750,96-98 APPLETON ST,165.0-0001-0002.0
2007,104  - Two Family,367500,0,236600,"7,313.00",0.0,604100,12750,96-98 APPLETON ST,165.0-0001-0002.0
2006,104  - Two Family,363100,0,209100,"7,313.00",0.0,572200,12750,96-98 APPLETON ST,165.0-0001-0002.0
2005,104  - Two Family,334400,0,191800,"7,313.00",0.0,526200,12750,96-98 APPLETON ST,165.0-0001-0002.0
2004,104  - Two Family,334400,0,191800,"7,313.00",0.0,526200,12750,96-98 APPLETON ST,165.0-0001-0002.0
2003,104  - Two Family,225600,0,163000,"7,313.00",0.0,388600,12750,96-98 APPLETON ST,165.0-0001-0002.0
2002,104  - Two Family,225600,0,134300,"7,313.00",0.0,359900,12750,96-98 APPLETON ST,165.0-0001-0002.0
2001,104  - Two Family,225600,0,134300,"7,313.00",0.0,359900,12750,96-98 APPLETON ST,165.0-0001-0002.0
2000,104  - Two Family,139100,0,106200,0.17,0.0,245300,12750,96-98 APPLETON ST,165.0-0001-0002.0
1999,104  - Two Family,139100,0,106200,,0.0,245300,12750,96-98 APPLETON ST,165.0-0001-0002.0
1998,104  - Two Family,139100,0,96500,,0.0,235600,12750,96-98 APPLETON ST,165.0-0001-0002.0
1997,104  - Two Family,129900,0,86900,,0.0,216800,12750,96-98 APPLETON ST,165.0-0001-0002.0
1996,104  - Two Family,129900,0,86900,,0.0,216800,12750,96-98 APPLETON ST,165.0-0001-0002.0
1995,104  - Two Family,129900,0,86900,,0.0,216800,12750,96-98 APPLETON ST,165.0-0001-0002.0
1994,104  - Two Family,122900,0,83400,,0.0,206300,12750,96-98 APPLETON ST,165.0-0001-0002.0
1993,104  - Two Family,122900,0,83400,,0.0,206300,12750,96-98 APPLETON ST,165.0-0001-0002.0
1992,104  - Two Family,128000,0,86900,,0.0,214900,12750,96-98 APPLETON ST,165.0-0001-0002.0
2026,101  - One Family,387600,0,512600,"6,340.00",0.0,900200,13641,359 APPLETON ST,175.0-0003-0011.0
2025,101  - One Family,381000,0,488200,"6,340.00",0.0,869200,13641,359 APPLETON ST,175.0-0003-0011.0
2024,101  - One Family,346900,0,469900,"6,340.00",0.0,816800,13641,359 APPLETON ST,175.0-0003-0011.0
2023,101  - One Family,329600,0,439300,"6,340.00",0.0,768900,13641,359 APPLETON ST,175.0-0003-0011.0
2022,101  - One Family,290200,0,427100,"6,340.00",0.0,717300,13641,359 APPLETON ST,175.0-0003-0011.0
2021,101  - One Family,256100,0,427100,"6,340.00",0.0,683200,13641,359 APPLETON ST,175.0-0003-0011.0
2020,101  - One Family,256100,0,427100,"6,340.00",0.0,683200,13641,359 APPLETON ST,175.0-0003-0011.0
2019,101  - One Family,210000,0,421000,"6,340.00",0.0,631000,13641,359 APPLETON ST,175.0-0003-0011.0
2018,101  - One Family,210000,0,323400,"6,340.00",0.0,533400,13641,359 APPLETON ST,175.0-0003-0011.0
2017,101  - One Family,210000,0,305100,"6,340.00",0.0,515100,13641,359 APPLETON ST,175.0-0003-0011.0
2016,101  - One Family,210000,0,280700,"6,340.00",0.0,490700,13641,359 APPLETON ST,175.0-0003-0011.0
2015,101  - One Family,209000,0,262400,"6,340.00",0.0,471400,13641,359 APPLETON ST,175.0-0003-0011.0
2014,101  - One Family,209000,0,241600,"6,340.00",0.0,450600,13641,359 APPLETON ST,175.0-0003-0011.0
2013,101  - One Family,209000,0,241600,"6,340.00",0.0,450600,13641,359 APPLETON ST,175.0-0003-0011.0
2012,101  - One Family,197200,0,201400,"6,340.00",0.0,398600,13641,359 APPLETON ST,175.0-0003-0011.0
2011,101  - One Family,197200,0,201400,"6,340.00",0.0,398600,13641,359 APPLETON ST,175.0-0003-0011.0
2010,101  - One Family,197200,0,201400,"6,340.00",0.0,398600,13641,359 APPLETON ST,175.0-0003-0011.0
2009,101  - One Family,191800,0,201200,"6,340.00",0.0,393000,13641,359 APPLETON ST,175.0-0003-0011.0
2008,101  - One Family,183800,0,201200,"6,340.00",0.0,385000,13641,359 APPLETON ST,175.0-0003-0011.0
2007,101  - One Family,189500,0,207500,"6,340.00",0.0,397000,13641,359 APPLETON ST,175.0-0003-0011.0
2006,101  - One Family,196100,0,168200,"6,340.00",0.0,364300,13641,359 APPLETON ST,175.0-0003-0011.0
2005,101  - One Family,185000,0,158700,"6,340.00",0.0,343700,13641,359 APPLETON ST,175.0-0003-0011.0
2004,101  - One Family,185000,0,158700,"6,340.00",0.0,343700,13641,359 APPLETON ST,175.0-0003-0011.0
2003,101  - One Family,129500,0,131200,"6,340.00",0.0,260700,13641,359 APPLETON ST,175.0-0003-0011.0
2002,101  - One Family,129500,0,115900,"6,340.00",0.0,245400,13641,359 APPLETON ST,175.0-0003-0011.0
2001,101  - One Family,129500,0,115900,"6,340.00",0.0,245400,13641,359 APPLETON ST,175.0-0003-0011.0
2000,101  - One Family,88500,0,101100,0.15,0.0,189600,13641,359 APPLETON ST,175.0-0003-0011.0
1999,101  - One Family,88500,0,101100,,0.0,189600,13641,359 APPLETON ST,175.0-0003-0011.0
1998,101  - One Family,88500,0,91900,,0.0,180400,13641,359 APPLETON ST,175.0-0003-0011.0
1997,101  - One Family,83400,0,82700,,0.0,166100,13641,359 APPLETON ST,175.0-0003-0011.0
1996,101  - One Family,83400,0,82700,,0.0,166100,13641,359 APPLETON ST,175.0-0003-0011.0
1995,101  - One Family,83400,0,82700,,0.0,166100,13641,359 APPLETON ST,175.0-0003-0011.0
1994,101  - One Family,82300,0,80500,,0.0,162800,13641,359 APPLETON ST,175.0-0003-0011.0
1993,101  - One Family,82300,0,80500,,0.0,162800,13641,359 APPLETON ST,175.0-0003-0011.0
1992,101  - One Family,84800,0,83000,,0.0,167800,13641,359 APPLETON ST,175.0-0003-0011.0
2026,101  - One Family,415100,0,532200,"3,741.00",0.0,947300,12955,162 APPLETON ST,167.0-0004-0023.0
2025,101  - One Family,396100,0,495000,"3,741.00",0.0,891100,12955,162 APPLETON ST,167.0-0004-0023.0
2024,101  - One Family,371500,0,468400,"3,741.00",0.0,839900,12955,162 APPLETON ST,167.0-0004-0023.0
2023,101  - One Family,339300,0,409800,"3,741.00",0.0,749100,12955,162 APPLETON ST,167.0-0004-0023.0
2022,101  - One Family,307100,0,372600,"3,741.00",0.0,679700,12955,162 APPLETON ST,167.0-0004-0023.0
2021,101  - One Family,297600,0,372600,"3,741.00",0.0,670200,12955,162 APPLETON ST,167.0-0004-0023.0
2020,101  - One Family,297600,0,372600,"3,741.00",0.0,670200,12955,162 APPLETON ST,167.0-0004-0023.0
2019,101  - One Family,239700,0,372600,"3,741.00",0.0,612300,12955,162 APPLETON ST,167.0-0004-0023.0
2018,101  - One Family,241800,0,330000,"3,741.00",0.0,571800,12955,162 APPLETON ST,167.0-0004-0023.0
2017,101  - One Family,241800,0,276800,"3,741.00",0.0,518600,12955,162 APPLETON ST,167.0-0004-0023.0
2016,101  - One Family,241800,0,276800,"3,741.00",0.0,518600,12955,162 APPLETON ST,167.0-0004-0023.0
2015,101  - One Family,235800,0,239500,"3,741.00",0.0,475300,12955,162 APPLETON ST,167.0-0004-0023.0
2014,101  - One Family,235800,0,231500,"3,741.00",0.0,467300,12955,162 APPLETON ST,167.0-0004-0023.0
2013,101  - One Family,235800,0,220300,"3,741.00",0.0,456100,12955,162 APPLETON ST,167.0-0004-0023.0
2012,101  - One Family,248700,0,191600,"3,741.00",0.0,440300,12955,162 APPLETON ST,167.0-0004-0023.0
2011,101  - One Family,248700,0,191600,"3,741.00",0.0,440300,12955,162 APPLETON ST,167.0-0004-0023.0
2010,101  - One Family,248700,0,191600,"3,741.00",0.0,440300,12955,162 APPLETON ST,167.0-0004-0023.0
2009,101  - One Family,241000,0,187800,"3,741.00",0.0,428800,12955,162 APPLETON ST,167.0-0004-0023.0
2008,101  - One Family,251000,0,193000,"3,741.00",0.0,444000,12955,162 APPLETON ST,167.0-0004-0023.0
2007,101  - One Family,256100,0,196900,"3,741.00",0.0,453000,12955,162 APPLETON ST,167.0-0004-0023.0
2006,101  - One Family,248000,0,169200,"3,741.00",0.0,417200,12955,162 APPLETON ST,167.0-0004-0023.0
2005,101  - One Family,234000,0,159700,"3,741.00",0.0,393700,12955,162 APPLETON ST,167.0-0004-0023.0
2004,101  - One Family,234000,0,159700,"3,741.00",0.0,393700,12955,162 APPLETON ST,167.0-0004-0023.0
2003,101  - One Family,178200,0,135700,"3,741.00",0.0,313900,12955,162 APPLETON ST,167.0-0004-0023.0
2002,101  - One Family,178200,0,111800,"3,741.00",0.0,290000,12955,162 APPLETON ST,167.0-0004-0023.0
2001,101  - One Family,178200,0,111800,"3,741.00",0.0,290000,12955,162 APPLETON ST,167.0-0004-0023.0
2000,101  - One Family,154200,0,78600,0.09,0.0,232800,12955,162 APPLETON ST,167.0-0004-0023.0
1999,101  - One Family,154200,0,78600,,0.0,232800,12955,162 APPLETON ST,167.0-0004-0023.0
1998,101  - One Family,154200,0,71400,,0.0,225600,12955,162 APPLETON ST,167.0-0004-0023.0
1997,101  - One Family,142000,0,64300,,0.0,206300,12955,162 APPLETON ST,167.0-0004-0023.0
1996,101  - One Family,142000,0,64300,,0.0,206300,12955,162 APPLETON ST,167.0-0004-0023.0
1995,101  - One Family,135300,0,64300,,0.0,199600,12955,162 APPLETON ST,167.0-0004-0023.0
1994,101  - One Family,95300,0,66200,,0.0,161500,12955,162 APPLETON ST,167.0-0004-0023.0
1993,101  - One Family,95300,0,66200,,0.0,161500,12955,162 APPLETON ST,167.0-0004-0023.0
1992,101  - One Family,98200,0,68200,,0.0,166400,12955,162 APPLETON ST,167.0-0004-0023.0
2026,102  - Condo,631300,0,0,0.00,0.0,631300,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2025,102  - Condo,575200,0,0,0.00,0.0,575200,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2024,102  - Condo,520400,0,0,0.00,0.0,520400,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2023,102  - Condo,502100,0,0,0.00,0.0,502100,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2022,102  - Condo,487900,0,0,0.00,0.0,487900,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2021,102  - Condo,473700,0,0,0.00,0.0,473700,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2020,102  - Condo,466600,0,0,0.00,0.0,466600,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2019,102  - Condo,409400,0,0,0.00,0.0,409400,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2018,102  - Condo,362300,0,0,0.00,0.0,362300,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2017,102  - Condo,224100,0,0,0.00,0.0,224100,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2016,102  - Condo,266800,0,0,0.00,0.0,266800,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2015,102  - Condo,261100,0,0,0.00,0.0,261100,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2014,102  - Condo,249200,0,0,0.00,0.0,249200,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2013,102  - Condo,249200,0,0,0.00,0.0,249200,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2012,102  - Condo,263700,0,0,0.00,0.0,263700,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2011,102  - Condo,263700,0,0,0.00,0.0,263700,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2010,102  - Condo,311200,0,0,0.00,0.0,311200,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2009,102  - Condo,320900,0,0,0.00,0.0,320900,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2008,102  - Condo,324300,0,0,0.00,0.0,324300,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2007,102  - Condo,334300,0,0,0.00,0.0,334300,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2006,102  - Condo,285800,0,0,0.00,0.0,285800,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2005,102  - Condo,272200,0,0,0.00,0.0,272200,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2004,102  - Condo,272200,0,0,0.00,0.0,272200,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2003,102  - Condo,153100,0,0,0.00,0.0,153100,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2002,102  - Condo,148200,0,0,0.00,0.0,148200,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2001,102  - Condo,148200,0,0,0.00,0.0,148200,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2000,102  - Condo,158000,0,0,0.00,0.0,158000,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
1999,102  - Condo,158000,0,0,,0.0,158000,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
1998,102  - Condo,0,0,0,,0.0,0,12834,49-53 APPLETON ST #9,165.0-0005-0015.A
2026,101  - One Family,486500,0,516700,"6,502.00",0.0,1003200,13930,405 APPLETON ST,177.0-0008-0004.A
2025,101  - One Family,473900,0,492100,"6,502.00",0.0,966000,13930,405 APPLETON ST,177.0-0008-0004.A
2024,101  - One Family,436300,0,473600,"6,502.00",0.0,909900,13930,405 APPLETON ST,177.0-0008-0004.A
2023,101  - One Family,397600,0,442800,"6,502.00",0.0,840400,13930,405 APPLETON ST,177.0-0008-0004.A
2022,101  - One Family,372500,0,430500,"6,502.00",0.0,803000,13930,405 APPLETON ST,177.0-0008-0004.A
2021,101  - One Family,362100,0,430500,"6,502.00",0.0,792600,13930,405 APPLETON ST,177.0-0008-0004.A
2020,101  - One Family,362100,0,430500,"6,502.00",0.0,792600,13930,405 APPLETON ST,177.0-0008-0004.A
2019,101  - One Family,265300,0,424400,"6,502.00",0.0,689700,13930,405 APPLETON ST,177.0-0008-0004.A
2018,101  - One Family,273000,0,326000,"6,502.00",0.0,599000,13930,405 APPLETON ST,177.0-0008-0004.A
2017,101  - One Family,273000,0,307500,"6,502.00",0.0,580500,13930,405 APPLETON ST,177.0-0008-0004.A
2016,101  - One Family,273000,0,282900,"6,502.00",0.0,555900,13930,405 APPLETON ST,177.0-0008-0004.A
2015,101  - One Family,266300,0,264500,"6,502.00",0.0,530800,13930,405 APPLETON ST,177.0-0008-0004.A
2014,101  - One Family,266300,0,243600,"6,502.00",0.0,509900,13930,405 APPLETON ST,177.0-0008-0004.A
2013,101  - One Family,266300,0,243600,"6,502.00",0.0,509900,13930,405 APPLETON ST,177.0-0008-0004.A
2012,101  - One Family,278800,7100,203000,"6,502.00",0.0,488900,13930,405 APPLETON ST,177.0-0008-0004.A
2011,101  - One Family,278800,7100,203000,"6,502.00",0.0,488900,13930,405 APPLETON ST,177.0-0008-0004.A
2010,101  - One Family,278800,7100,203000,"6,502.00",0.0,488900,13930,405 APPLETON ST,177.0-0008-0004.A
2009,101  - One Family,302100,7300,202800,"6,502.00",0.0,512200,13930,405 APPLETON ST,177.0-0008-0004.A
2008,101  - One Family,314700,7300,202800,"6,502.00",0.0,524800,13930,405 APPLETON ST,177.0-0008-0004.A
2007,101  - One Family,324400,7300,209100,"6,502.00",0.0,540800,13930,405 APPLETON ST,177.0-0008-0004.A
2006,101  - One Family,312400,8000,169500,"6,502.00",0.0,489900,13930,405 APPLETON ST,177.0-0008-0004.A
2005,101  - One Family,294700,7600,159900,"6,502.00",0.0,462200,13930,405 APPLETON ST,177.0-0008-0004.A
2004,101  - One Family,294700,7600,159900,"6,502.00",0.0,462200,13930,405 APPLETON ST,177.0-0008-0004.A
2003,101  - One Family,181900,7800,132200,"6,502.00",0.0,321900,13930,405 APPLETON ST,177.0-0008-0004.A
2002,101  - One Family,181900,7800,116900,"6,502.00",0.0,306600,13930,405 APPLETON ST,177.0-0008-0004.A
2001,101  - One Family,181900,7800,116900,"6,502.00",0.0,306600,13930,405 APPLETON ST,177.0-0008-0004.A
2000,101  - One Family,157200,0,91700,0.15,0.0,248900,13930,405 APPLETON ST,177.0-0008-0004.A
1999,101  - One Family,157200,0,91700,,0.0,248900,13930,405 APPLETON ST,177.0-0008-0004.A
1998,101  - One Family,157200,0,83400,,0.0,240600,13930,405 APPLETON ST,177.0-0008-0004.A
1997,101  - One Family,147800,0,75000,,0.0,222800,13930,405 APPLETON ST,177.0-0008-0004.A
1996,101  - One Family,147800,0,75000,,0.0,222800,13930,405 APPLETON ST,177.0-0008-0004.A
1995,101  - One Family,147800,0,75000,,0.0,222800,13930,405 APPLETON ST,177.0-0008-0004.A
1994,101  - One Family,148100,0,72800,,0.0,220900,13930,405 APPLETON ST,177.0-0008-0004.A
1993,101  - One Family,148100,0,72800,,0.0,220900,13930,405 APPLETON ST,177.0-0008-0004.A
1992,101  - One Family,152700,0,75000,,0.0,227700,13930,405 APPLETON ST,177.0-0008-0004.A
2026,102  - Condo,634400,3600,0,0.00,0.0,638000,15575,155 APPLETON ST #1,167.0-0003-0005.0
2025,102  - Condo,609800,3600,0,0.00,0.0,613400,15575,155 APPLETON ST #1,167.0-0003-0005.0
2024,102  - Condo,517600,3000,0,0.00,0.0,520600,15575,155 APPLETON ST #1,167.0-0003-0005.0
2023,102  - Condo,499700,3000,0,0.00,0.0,502700,15575,155 APPLETON ST #1,167.0-0003-0005.0
2022,102  - Condo,485700,3000,0,0.00,0.0,488700,15575,155 APPLETON ST #1,167.0-0003-0005.0
2021,102  - Condo,471600,3000,0,0.00,0.0,474600,15575,155 APPLETON ST #1,167.0-0003-0005.0
2020,102  - Condo,464600,3000,0,0.00,0.0,467600,15575,155 APPLETON ST #1,167.0-0003-0005.0
2019,102  - Condo,473400,3000,0,0.00,0.0,476400,15575,155 APPLETON ST #1,167.0-0003-0005.0
2018,102  - Condo,418600,3000,0,0.00,0.0,421600,15575,155 APPLETON ST #1,167.0-0003-0005.0
2017,102  - Condo,381500,3000,0,0.00,0.0,384500,15575,155 APPLETON ST #1,167.0-0003-0005.0
2016,102  - Condo,381500,3000,0,0.00,0.0,384500,15575,155 APPLETON ST #1,167.0-0003-0005.0
2015,102  - Condo,346700,3000,0,0.00,0.0,349700,15575,155 APPLETON ST #1,167.0-0003-0005.0
2014,102  - Condo,330800,3000,0,0.00,0.0,333800,15575,155 APPLETON ST #1,167.0-0003-0005.0
2013,102  - Condo,330800,3000,0,0.00,0.0,333800,15575,155 APPLETON ST #1,167.0-0003-0005.0
2012,102  - Condo,301400,6100,0,0.00,0.0,307500,15575,155 APPLETON ST #1,167.0-0003-0005.0
2011,102  - Condo,301400,6100,0,0.00,0.0,307500,15575,155 APPLETON ST #1,167.0-0003-0005.0
2010,102  - Condo,301400,6100,0,0.00,0.0,307500,15575,155 APPLETON ST #1,167.0-0003-0005.0
2009,102  - Condo,305800,6100,0,0.00,0.0,311900,15575,155 APPLETON ST #1,167.0-0003-0005.0
1992,104  - Two Family,125200,0,88900,,0.0,214100,15575,155 APPLETON ST #1,167.0-0003-0005.0
2026,101  - One Family,379800,500,516200,"8,760.00",0.0,896500,14154,507 APPLETON ST,180.0-0003-0003.0
2025,101  - One Family,373600,500,491600,"8,760.00",0.0,865700,14154,507 APPLETON ST,180.0-0003-0003.0
2024,101  - One Family,341000,500,473200,"8,760.00",0.0,814700,14154,507 APPLETON ST,180.0-0003-0003.0
2023,101  - One Family,323100,500,442500,"8,760.00",0.0,766100,14154,507 APPLETON ST,180.0-0003-0003.0
2022,101  - One Family,286100,500,430200,"8,760.00",0.0,716800,14154,507 APPLETON ST,180.0-0003-0003.0
2021,101  - One Family,275800,500,430200,"8,760.00",0.0,706500,14154,507 APPLETON ST,180.0-0003-0003.0
2020,101  - One Family,275800,500,430200,"8,760.00",0.0,706500,14154,507 APPLETON ST,180.0-0003-0003.0
2019,101  - One Family,209600,500,424000,"8,760.00",0.0,634100,14154,507 APPLETON ST,180.0-0003-0003.0
2018,101  - One Family,206400,500,325700,"8,760.00",0.0,532600,14154,507 APPLETON ST,180.0-0003-0003.0
2017,101  - One Family,206400,500,307300,"8,760.00",0.0,514200,14154,507 APPLETON ST,180.0-0003-0003.0
2016,101  - One Family,206400,500,282700,"8,760.00",0.0,489600,14154,507 APPLETON ST,180.0-0003-0003.0
2015,101  - One Family,205400,500,264200,"8,760.00",0.0,470100,14154,507 APPLETON ST,180.0-0003-0003.0
2014,101  - One Family,205400,500,243300,"8,760.00",0.0,449200,14154,507 APPLETON ST,180.0-0003-0003.0
2013,101  - One Family,205400,500,243300,"8,760.00",0.0,449200,14154,507 APPLETON ST,180.0-0003-0003.0
2012,101  - One Family,190000,1700,202800,"8,760.00",0.0,394500,14154,507 APPLETON ST,180.0-0003-0003.0
2011,101  - One Family,190000,1700,202800,"8,760.00",0.0,394500,14154,507 APPLETON ST,180.0-0003-0003.0
2010,101  - One Family,190000,1700,202800,"8,760.00",0.0,394500,14154,507 APPLETON ST,180.0-0003-0003.0
2009,101  - One Family,179600,1800,202700,"8,760.00",0.0,384100,14154,507 APPLETON ST,180.0-0003-0003.0
2008,101  - One Family,185100,1800,202700,"8,760.00",0.0,389600,14154,507 APPLETON ST,180.0-0003-0003.0
2007,101  - One Family,190800,1800,208900,"8,760.00",0.0,401500,14154,507 APPLETON ST,180.0-0003-0003.0
2006,101  - One Family,197700,2000,169400,"8,760.00",0.0,369100,14154,507 APPLETON ST,180.0-0003-0003.0
2005,101  - One Family,186500,1900,159800,"8,760.00",0.0,348200,14154,507 APPLETON ST,180.0-0003-0003.0
2004,101  - One Family,186500,1900,159800,"8,760.00",0.0,348200,14154,507 APPLETON ST,180.0-0003-0003.0
2003,101  - One Family,135700,700,132100,"8,760.00",0.0,268500,14154,507 APPLETON ST,180.0-0003-0003.0
2002,101  - One Family,135700,700,116800,"8,760.00",0.0,253200,14154,507 APPLETON ST,180.0-0003-0003.0
2001,101  - One Family,135700,700,116800,"8,760.00",0.0,253200,14154,507 APPLETON ST,180.0-0003-0003.0
2000,101  - One Family,90500,0,114200,0.20,0.0,204700,14154,507 APPLETON ST,180.0-0003-0003.0
1999,101  - One Family,90500,0,114200,,0.0,204700,14154,507 APPLETON ST,180.0-0003-0003.0
1998,101  - One Family,90500,0,103800,,0.0,194300,14154,507 APPLETON ST,180.0-0003-0003.0
1997,101  - One Family,84000,0,93400,,0.0,177400,14154,507 APPLETON ST,180.0-0003-0003.0
1996,101  - One Family,84000,0,93400,,0.0,177400,14154,507 APPLETON ST,180.0-0003-0003.0
1995,101  - One Family,47800,0,93400,,0.0,141200,14154,507 APPLETON ST,180.0-0003-0003.0
1994,101  - One Family,47500,0,77100,,0.0,124600,14154,507 APPLETON ST,180.0-0003-0003.0
1993,101  - One Family,47500,0,77100,,0.0,124600,14154,507 APPLETON ST,180.0-0003-0003.0
1992,101  - One Family,49000,0,79500,,0.0,128500,14154,507 APPLETON ST,180.0-0003-0003.0
2026,102  - Condo,483200,0,0,0.00,0.0,483200,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2025,102  - Condo,465400,0,0,0.00,0.0,465400,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2024,102  - Condo,413600,0,0,0.00,0.0,413600,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2023,102  - Condo,398700,0,0,0.00,0.0,398700,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2022,102  - Condo,387900,0,0,0.00,0.0,387900,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2021,102  - Condo,377000,0,0,0.00,0.0,377000,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2020,102  - Condo,371600,0,0,0.00,0.0,371600,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2019,102  - Condo,331900,0,0,0.00,0.0,331900,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2018,102  - Condo,294200,0,0,0.00,0.0,294200,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2017,102  - Condo,241800,0,0,0.00,0.0,241800,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2016,102  - Condo,228300,0,0,0.00,0.0,228300,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2015,102  - Condo,223800,0,0,0.00,0.0,223800,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2014,102  - Condo,213800,0,0,0.00,0.0,213800,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2013,102  - Condo,213800,0,0,0.00,0.0,213800,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2012,102  - Condo,226300,0,0,0.00,0.0,226300,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2011,102  - Condo,226300,0,0,0.00,0.0,226300,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2010,102  - Condo,267100,0,0,0.00,0.0,267100,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2009,102  - Condo,275100,0,0,0.00,0.0,275100,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2008,102  - Condo,278000,0,0,0.00,0.0,278000,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2007,102  - Condo,286600,0,0,0.00,0.0,286600,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2006,102  - Condo,245700,0,0,0.00,0.0,245700,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2005,102  - Condo,234000,0,0,0.00,0.0,234000,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2004,102  - Condo,234000,0,0,0.00,0.0,234000,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2003,102  - Condo,174700,0,0,0.00,0.0,174700,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2002,102  - Condo,169000,0,0,0.00,0.0,169000,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2001,102  - Condo,169000,0,0,0.00,0.0,169000,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2000,102  - Condo,31500,0,0,0.00,0.0,31500,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
1999,102  - Condo,31500,0,0,,0.0,31500,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
1998,102  - Condo,0,0,0,,0.0,0,12837,49-53 APPLETON ST #A,165.0-0005-0015.A
2026,101  - One Family,383400,0,538600,"6,876.00",0.0,922000,14316,352 APPLETON ST,184.0-0006-0012.0
2025,101  - One Family,389600,0,513500,"6,876.00",0.0,903100,14316,352 APPLETON ST,184.0-0006-0012.0
2024,101  - One Family,342100,0,513500,"6,876.00",0.0,855600,14316,352 APPLETON ST,184.0-0006-0012.0
2023,101  - One Family,324600,0,457200,"6,876.00",0.0,781800,14316,352 APPLETON ST,184.0-0006-0012.0
2022,101  - One Family,281400,0,438400,"6,876.00",0.0,719800,14316,352 APPLETON ST,184.0-0006-0012.0
2021,101  - One Family,271200,0,438400,"6,876.00",0.0,709600,14316,352 APPLETON ST,184.0-0006-0012.0
2020,101  - One Family,271200,0,438400,"6,876.00",0.0,709600,14316,352 APPLETON ST,184.0-0006-0012.0
2019,101  - One Family,264600,0,438400,"6,876.00",0.0,703000,14316,352 APPLETON ST,184.0-0006-0012.0
2018,101  - One Family,264100,0,369500,"6,876.00",0.0,633600,14316,352 APPLETON ST,184.0-0006-0012.0
2017,101  - One Family,264100,0,338200,"6,876.00",0.0,602300,14316,352 APPLETON ST,184.0-0006-0012.0
2016,101  - One Family,264100,0,288100,"6,876.00",0.0,552200,14316,352 APPLETON ST,184.0-0006-0012.0
