OBJECTID,addrptid,FullAddNum,RoadName,FullAddr,NumPoints,PointType,LUC,parcel_id,loc_id,Notes,AddrStatus,last_edited_user,last_edited_date,GlobalID,lng,lat
3237,ADDR-5985,55,RONALD RD,55 RONALD RD,1,Residential,101,093.0-0006-0007.0,F_745213_2980916,,Current,,,bdfafc3c-1189-4523-af02-ad582006f674,-71.1702669276878,42.4273800883103
3238,ADDR-5986,59,RONALD RD,59 RONALD RD,1,Residential,101,093.0-0006-0008.0,F_745237_2980953,,Current,,,0d0c59d4-b7b2-42fc-b6cc-35ed41ad9278,-71.170188728811,42.42749155824723
3239,ADDR-5987,63,RONALD RD,63 RONALD RD,1,Residential,101,093.0-0006-0009.0,F_745263_2980990,,Current,,,264fb05c-3160-4faa-84d5-9cc0ba74c3f4,-71.17006168552425,42.42757050542151
3240,ADDR-5988,67,RONALD RD,67 RONALD RD,1,Residential,101,093.0-0006-0010.0,F_745286_2981045,,Current,,,757b9723-5015-42a0-a8a6-90c7cb44fcbb,-71.16997781748383,42.42766910939887
3241,ADDR-5989,190,WASHINGTON ST,190 WASHINGTON ST,1,Residential,101,093.0-0006-0011.0,F_745314_2980918,,Current,,,190b920e-a9da-4236-83f4-e95b44b2e805,-71.16973937570052,42.42731629549606
3242,ADDR-5990,186,WASHINGTON ST,186 WASHINGTON ST,1,Residential,101,093.0-0006-0012.0,F_745314_2980861,,Current,,,ec88d2a0-9862-4420-92c1-112ab9731964,-71.16972105859143,42.42719129793815
3243,ADDR-5991,182,WASHINGTON ST,182 WASHINGTON ST,1,Residential,101,093.0-0006-0013.0,F_745328_2980817,,Current,,,ce1014e2-2a05-4520-879f-afbcba48015e,-71.16967205894538,42.42707029867694
3244,ADDR-5992,42,GORHAM ST,42 GORHAM ST,1,Residential,101,093.0-0006-0015.0,F_745251_2980788,,Current,,,bf0a3bdb-7944-4968-8724-8b20b2d87f52,-71.17005463070906,42.42698668286617
3245,ADDR-5993,38,GORHAM ST,38 GORHAM ST,1,Residential,101,093.0-0006-0016.0,F_745218_2980737,,Current,,,5237ccec-f446-4e9f-9c8a-682156c1aba7,-71.17016163097281,42.42683668199524
3246,ADDR-5994,34,GORHAM ST,34 GORHAM ST,1,Residential,101,093.0-0006-0017.0,F_745192_2980693,,Current,,,7d85cac8-c9f1-452a-8be0-98e3171ccbc8,-71.17022059734548,42.42668869779443
3247,ADDR-5995,30,GORHAM ST,30 GORHAM ST,1,Residential,101,093.0-0006-0018.0,F_745163_2980651,,Current,,,5089126b-eaef-448f-92e2-1d36e44187c9,-71.17033059702823,42.42657269778757
3248,ADDR-5996,119,RONALD RD,119 RONALD RD,1,Residential,101,093.0-0007-0001.0,F_745647_2981535,,Current,,,017d3a2e-949b-41dd-b6ed-4e34adf72999,-71.1686499275664,42.42906909046827
3249,ADDR-5997,115,RONALD RD,115 RONALD RD,1,Residential,101,093.0-0007-0002.0,F_745620_2981496,,Current,,,bdbe049f-6eb5-45eb-bff0-a52930c792b0,-71.16877428814598,42.428981452238176
3250,ADDR-5998,111,RONALD RD,111 RONALD RD,1,Residential,101,093.0-0007-0003.0,F_745593_2981459,,Current,,,3e9fc909-514c-4b2c-b262-b6f330c70fde,-71.16885097742153,42.42885556201311
3251,ADDR-5999,107,RONALD RD,107 RONALD RD,1,Residential,101,093.0-0007-0004.0,F_745565_2981420,,Current,,,59742b32-1d06-46ca-8d6a-c569e36aa574,-71.16896777326026,42.42876198523483
3252,ADDR-6000,103,RONALD RD,103 RONALD RD,1,Residential,101,093.0-0007-0005.0,F_745537_2981380,,Current,,,4131f854-cdd0-4840-bc8a-1a263449d612,-71.16903335453553,42.42861943224443
3253,ADDR-6001,97,RONALD RD,97 RONALD RD,1,Residential,101,093.0-0007-0006.0,F_745510_2981341,,Current,,,877565bb-6515-4bb3-bd63-42152784fb30,-71.16915897799107,42.42853356175417
3254,ADDR-6002,95,RONALD RD,95 RONALD RD,1,Residential,101,093.0-0007-0007.0,F_745482_2981302,,Current,,,14b91cde-40ec-4f41-8b02-dc64aa2f4fc8,-71.1692824450367,42.42844658210026
3255,ADDR-6003,91,RONALD RD,91 RONALD RD,1,Residential,101,093.0-0007-0008.0,F_745454_2981263,,Current,,,b056af3d-d818-4289-93bd-030c6b2a14e7,-71.16936592794526,42.428329088954534
